,home_team,away_team,home_goals_x,away_goals_x,date_x,round,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,season,Expected Goals (xG)_home,Expected Goals (xG)_away,Clearances Completed_home,Clearances Completed_away,home_goals_y,away_goals_y,date_y,referee,stadium,capacity,attendance,stadium name,stadium city,Stadium,Club,Location,Opened,Closed,Capacity,Pitch length m,Pitch width m,latitude,longitude,longitude_decimal,latitude_decimal,transformed_date,weather_temperature_[C],weather_precipitation_[mm],weather_wind_[km/h],weather_humidity_[%],weather_cloud_cover_[%],sum_of_goals
198,Brentford,Manchester City,0,1,29.12.2021 21:15,20,24,76,6,12,2,3,2,5,2,4,13,12,3,5,0,3,10,26,2,2,12,10,0,0,217,710,136,629,17,11,55,100,21,68,0,0,21-22,-1.0,-1.0,0,0,0,1,29.12.2021 21:15,Coote D. (Eng),Brentford Community Stadium (London),17 250,17 009,Brentford Community Stadium,London,Brentford Community Stadium,Brentford,London,2020,,17250,105.0,68.0,51°29′26.97″N,0°17′19.32″W,-0.2887,51.490825,2021-12-29T21:15,12.9,0.0,19.9,91,100,1
199,Chelsea,Brighton,1,1,29.12.2021 20:30,20,48,52,11,18,5,6,3,8,3,4,6,12,10,8,1,0,17,25,5,4,14,7,4,1,430,473,343,378,23,23,77,60,45,41,0,0,21-22,-1.0,-1.0,0,0,1,1,29.12.2021 20:30,Dean M. (Eng),Stamford Bridge (London),40 341,40 080,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2021-12-29T20:30,11.6,0.0,21.1,91,100,2
200,Leicester,Liverpool,1,0,28.12.2021 21:00,20,37,63,6,21,1,4,2,12,3,5,12,8,1,12,3,1,15,26,4,0,8,11,0,1,358,587,263,480,17,15,66,161,33,119,0,0,21-22,-1.0,-1.0,0,0,1,0,28.12.2021 21:00,Oliver M. (Eng),King Power Stadium (Leicester),32 261,32 230,King Power Stadium,Leicester,King Power StadiumFormerly Walkers Stadium,Leicester,Leicester,2002,,32262,105.0,68.0,52°37′13″N,001°08′32″W,-1.1422222222222222,52.62027777777778,2021-12-28T21:00,7.7,0.0,15.0,93,100,1
201,Crystal Palace,Norwich,3,0,28.12.2021 16:00,20,51,49,19,12,6,3,6,2,7,7,13,8,8,8,1,3,33,19,3,3,9,13,1,2,391,376,303,293,26,16,71,100,39,53,0,0,21-22,-1.0,-1.0,0,0,3,0,28.12.2021 16:00,Tierney P. (Eng),Selhurst Park (London),25 486,24 433,Selhurst Park,London,Selhurst Park,Crystal Palace,London,1924,,25486,101.0,68.0,51°23′54″N,000°05′08″W,-0.0855555555555555,51.39833333333333,2021-12-28T16:00,10.3,0.0,23.9,80,47,3
202,Southampton,Tottenham,1,1,28.12.2021 16:00,20,35,65,9,21,2,11,3,5,4,5,8,17,3,7,3,3,17,23,10,1,15,5,4,2,290,536,201,449,15,9,93,112,28,73,1,0,21-22,-1.0,-1.0,0,0,1,1,28.12.2021 16:00,Taylor A. (Eng),St. Mary's Stadium (Southampton),32 384,31 304,St. Mary's Stadium,Southampton,St Mary's Stadium,Southampton,Southampton,2001,,32384,105.0,68.0,50°54′21″N,001°23′28″W,-1.3911111111111112,50.90583333333333,2021-12-28T16:00,10.0,0.0,20.3,83,23,2
203,Watford,West Ham,1,4,28.12.2021 16:00,20,43,57,14,13,5,6,5,3,4,4,12,11,4,5,0,1,25,26,2,4,12,12,0,1,316,423,208,308,16,15,114,91,50,62,0,0,21-22,-1.0,-1.0,0,0,1,4,28.12.2021 16:00,England D. (Eng),Vicarage Road (Watford),22 200,20 073,Vicarage Road,Watford,Vicarage Road,Watford,Watford,1922,,22200,105.0,68.0,51°39′00″N,000°24′06″W,-0.4016666666666666,51.65,2021-12-28T16:00,9.3,0.0,21.9,86,96,5
204,Newcastle,Manchester Utd,1,1,27.12.2021 21:00,19,30,70,13,13,8,4,3,3,2,6,8,11,2,3,2,3,30,30,3,7,11,8,3,3,259,566,167,455,18,17,85,141,49,55,0,0,21-22,-1.0,-1.0,0,0,1,1,27.12.2021 21:00,Pawson C. (Eng),St. James' Park (Newcastle),52 305,52 178,St. James' Park,Newcastle,St James' Park,Newcastle,Newcastle upon Tyne,1880,,52257,105.0,68.0,54°58′32″N,001°37′18″W,-1.6216666666666666,54.97555555555556,2021-12-27T21:00,6.2,0.2,6.3,95,100,2
205,Brighton,Brentford,2,0,26.12.2021 21:00,19,50,50,15,16,5,6,7,6,3,4,10,9,6,9,2,3,15,19,6,3,8,10,1,3,466,450,374,348,13,16,105,105,54,47,0,0,21-22,-1.0,-1.0,0,0,2,0,26.12.2021 21:00,England D. (Eng),Amex Stadium (Brighton),31 876,30 141,Amex Stadium,Brighton,Falmer Stadium,Brighton,Falmer,2011,,31876,105.0,68.0,50°51′42.56″N,00°04′59.8″W,-0.0832777777777777,50.86182222222222,2021-12-26T21:00,7.7,0.0,8.7,94,30,2
206,Aston Villa,Chelsea,1,3,26.12.2021 18:30,19,42,58,8,10,1,4,2,3,5,3,12,6,2,5,2,2,18,23,1,0,8,11,3,1,446,609,382,541,17,17,101,128,34,66,0,0,21-22,-1.0,-1.0,0,0,1,3,26.12.2021 18:30,Atkinson M. (Eng),Villa Park (Birmingham),42 789,41 907,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2021-12-26T18:30,6.5,0.0,5.8,99,92,4
207,Manchester City,Leicester,6,3,26.12.2021 16:00,19,72,28,17,14,9,8,3,5,5,1,6,12,14,4,2,1,19,3,5,3,11,9,1,2,736,289,693,251,7,15,138,43,60,18,0,0,21-22,-1.0,-1.0,0,0,6,3,26.12.2021 16:00,Kavanagh C. (Eng),Etihad Stadium (Manchester),55 097,53 226,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2021-12-26T16:00,5.3,0.0,10.3,89,100,9
208,Norwich,Arsenal,0,5,26.12.2021 16:00,19,35,65,4,16,2,6,1,4,1,6,9,14,3,4,3,2,23,20,1,2,13,7,1,2,314,585,228,493,17,13,81,116,23,41,0,0,21-22,-1.0,-1.0,0,0,0,5,26.12.2021 16:00,Scott G. (Eng),Carrow Road (Norwich),27 137,26 940,Carrow Road,Norwich,Carrow Road,Norwich,Norwich,1935,,27359,105.0,68.0,52°37′20″N,001°18′33″E,1.3091666666666668,52.62222222222222,2021-12-26T16:00,6.3,0.3,12.4,97,100,5
209,Tottenham,Crystal Palace,3,0,26.12.2021 16:00,19,60,40,17,4,6,0,6,2,5,2,10,16,4,2,1,0,14,13,0,3,16,9,1,3,602,406,548,336,23,18,126,68,62,31,0,1,21-22,-1.0,-1.0,0,0,3,0,26.12.2021 16:00,Moss J. (Eng),Tottenham Hotspur Stadium (London),62 850,40 539,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2021-12-26T16:00,8.2,0.0,4.0,99,100,3
210,West Ham,Southampton,2,3,26.12.2021 16:00,19,56,44,11,11,5,6,3,2,3,3,10,11,10,2,2,1,20,19,3,3,10,9,3,3,451,378,362,290,13,19,114,91,70,32,0,0,21-22,-1.0,-1.0,0,0,2,3,26.12.2021 16:00,Friend K. (Eng),London Stadium (London),62 500,45 000,London Stadium,London,London StadiumFormerly Olympic Stadium,West Ham,London,2016[28],,62500,105.0,68.0,51°32′19″N,0°0′59″W,-0.0163888888888888,51.53861111111111,2021-12-26T16:00,7.9,0.0,6.2,98,100,5
211,Tottenham,Liverpool,2,2,19.12.2021 17:30,18,43,57,10,18,5,6,3,6,2,6,12,11,6,4,3,1,17,21,4,3,12,11,4,4,413,519,311,417,15,25,79,151,51,79,0,1,21-22,-1.0,-1.0,0,0,2,2,19.12.2021 17:30,Tierney P. (Eng),Tottenham Hotspur Stadium (London),62 850,45 421,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2021-12-19T17:30,5.9,0.0,10.0,94,91,4
212,Newcastle,Manchester City,0,4,19.12.2021 15:00,18,28,72,5,18,1,7,4,8,0,3,6,13,3,6,4,2,14,15,3,1,9,6,1,2,265,709,207,642,13,21,70,113,31,47,0,0,21-22,-1.0,-1.0,0,0,0,4,19.12.2021 15:00,Atkinson M. (Eng),St. James' Park (Newcastle),52 305,52 127,St. James' Park,Newcastle,St James' Park,Newcastle,Newcastle upon Tyne,1880,,52257,105.0,68.0,54°58′32″N,001°37′18″W,-1.6216666666666666,54.97555555555556,2021-12-19T15:00,4.2,0.0,6.9,96,90,4
213,Wolves,Chelsea,0,0,19.12.2021 15:00,18,37,63,4,8,1,1,1,1,2,6,11,11,4,9,2,4,17,22,1,1,9,7,0,2,433,739,328,275,17,16,70,187,28,90,0,0,21-22,-1.0,-1.0,0,0,0,0,19.12.2021 15:00,Coote D. (Eng),Molineux Stadium (Wolverhampton),31 750,30 631,Molineux Stadium,Wolverhampton,Molineux Stadium,Wolves,Wolverhampton,1889,,31750,105.0,68.0,52°35′25″N,002°07′49″W,-2.1302777777777777,52.59027777777778,2021-12-19T15:00,3.4,0.0,9.5,96,90,0
214,Leeds,Arsenal,1,4,18.12.2021 18:30,18,51,49,9,21,2,12,6,3,1,6,7,10,1,4,0,1,27,15,8,1,11,7,3,1,405,392,308,307,14,13,81,104,34,36,0,0,21-22,-1.0,-1.0,0,0,1,4,18.12.2021 18:30,Marriner A. (Eng),Elland Road (Leeds),37 792,36 166,Elland Road,Leeds,Elland Road,Leeds,Leeds,1897,,37608,105.0,68.0,53°46′40″N,001°34′20″W,-1.5722222222222222,53.77777777777778,2021-12-18T18:30,4.9,0.0,4.7,99,90,5
215,Liverpool,Newcastle,3,1,16.12.2021 21:00,17,74,26,23,5,8,3,9,2,6,0,5,10,11,0,2,1,23,9,2,5,9,4,1,3,738,258,628,154,12,24,151,58,97,10,0,0,21-22,-1.0,-1.0,0,0,3,1,16.12.2021 21:00,Dean M. (Eng),Anfield (Liverpool),61 276,52 951,Anfield,Liverpool,Anfield,Liverpool,Liverpool,1884,,61276,101.0,68.0,53°25′51″N,002°57′39″W,-2.960833333333333,53.43083333333333,2021-12-16T21:00,7.7,0.0,1.8,90,68,4
216,Chelsea,Everton,1,1,16.12.2021 20:45,17,80,20,23,5,10,3,10,1,3,1,7,10,7,1,0,2,31,11,2,9,11,11,2,3,777,194,698,108,11,19,158,73,84,24,0,0,21-22,-1.0,-1.0,0,0,1,1,16.12.2021 20:45,Oliver M. (Eng),Stamford Bridge (London),40 341,39 933,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2021-12-16T20:45,6.5,0.0,7.9,98,64,2
217,Arsenal,West Ham,2,0,15.12.2021 21:00,17,56,44,21,7,8,1,5,3,8,3,8,8,5,2,0,0,18,28,1,6,9,9,2,2,501,387,419,314,22,18,111,85,70,54,0,1,21-22,-1.0,-1.0,0,0,2,0,15.12.2021 21:00,Taylor A. (Eng),Emirates Stadium (London),60 704,59 777,Emirates Stadium,London,Emirates Stadium,Arsenal,London,2006,,60704,105.0,68.0,51°33′18″N,000°06′31″W,-0.1086111111111111,51.555,2021-12-15T21:00,8.2,0.0,9.1,97,20,2
218,Brighton,Wolves,0,1,15.12.2021 20:30,17,59,41,12,8,2,5,7,2,3,1,16,12,7,4,1,1,23,15,4,2,11,15,2,0,524,365,441,283,16,17,141,67,61,34,0,0,21-22,-1.0,-1.0,0,0,0,1,15.12.2021 20:30,Harrington T. (Eng),Amex Stadium (Brighton),31 876,30 362,Amex Stadium,Brighton,Falmer Stadium,Brighton,Falmer,2011,,31876,105.0,68.0,50°51′42.56″N,00°04′59.8″W,-0.0832777777777777,50.86182222222222,2021-12-15T20:30,9.5,0.0,10.6,97,90,1
219,Crystal Palace,Southampton,2,2,15.12.2021 20:30,17,60,40,9,15,6,4,2,7,1,4,23,17,4,6,1,3,32,23,2,4,16,20,2,4,448,299,333,193,20,24,94,113,48,45,0,0,21-22,-1.0,-1.0,0,0,2,2,15.12.2021 20:30,Hooper S. (Eng),Selhurst Park (London),25 486,22 861,Selhurst Park,London,Selhurst Park,Crystal Palace,London,1924,,25486,101.0,68.0,51°23′54″N,000°05′08″W,-0.0855555555555555,51.39833333333333,2021-12-15T20:30,8.9,0.0,10.8,96,72,4
220,Manchester City,Leeds,7,0,14.12.2021 21:00,17,64,36,31,6,15,3,9,2,7,1,7,6,6,2,1,0,7,16,3,8,5,9,1,1,608,338,554,267,12,15,169,42,59,21,0,0,21-22,-1.0,-1.0,0,0,7,0,14.12.2021 21:00,Tierney P. (Eng),Etihad Stadium (Manchester),55 097,52 401,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2021-12-14T21:00,9.0,0.1,11.9,95,92,7
221,Norwich,Aston Villa,0,2,14.12.2021 20:45,17,50,50,7,17,3,6,1,3,3,8,8,10,7,10,0,0,23,20,4,3,12,9,3,1,451,447,368,365,23,17,91,120,43,69,0,0,21-22,-1.0,-1.0,0,0,0,2,14.12.2021 20:45,Coote D. (Eng),Carrow Road (Norwich),27 137,26 836,Carrow Road,Norwich,Carrow Road,Norwich,Norwich,1935,,27359,105.0,68.0,52°37′20″N,001°18′33″E,1.3091666666666668,52.62222222222222,2021-12-14T20:45,11.3,0.0,17.5,88,100,2
222,Crystal Palace,Everton,3,1,12.12.2021 17:30,16,61,39,17,12,6,6,5,1,6,5,11,14,8,2,1,0,31,26,5,3,15,14,0,2,487,306,406,215,15,25,76,101,57,40,0,0,21-22,-1.0,-1.0,0,0,3,1,12.12.2021 17:30,Madley A. (Eng),Selhurst Park (London),25 486,24 066,Selhurst Park,London,Selhurst Park,Crystal Palace,London,1924,,25486,101.0,68.0,51°23′54″N,000°05′08″W,-0.0855555555555555,51.39833333333333,2021-12-12T17:30,11.7,0.0,19.4,90,90,4
223,Burnley,West Ham,0,0,12.12.2021 15:00,16,40,60,9,16,1,3,5,8,3,5,10,12,6,14,1,1,10,23,3,1,13,11,2,1,310,471,201,348,19,10,109,102,39,62,0,0,21-22,-1.0,-1.0,0,0,0,0,12.12.2021 15:00,Scott G. (Eng),Turf Moor (Burnley),22 546,18 065,Turf Moor,Burnley,Turf Moor,Burnley,Burnley,1883,,21744,105.0,68.0,53°47′21″N,2°13′49″W,-2.230277777777778,53.78916666666667,2021-12-12T15:00,11.7,0.1,19.7,93,27,0
224,Leicester,Newcastle,4,0,12.12.2021 15:00,16,47,53,8,12,5,3,2,3,1,6,16,9,4,6,0,1,21,19,3,1,9,16,2,3,400,431,317,343,20,26,105,101,39,59,0,0,21-22,-1.0,-1.0,0,0,4,0,12.12.2021 15:00,Bankes P. (Eng),King Power Stadium (Leicester),32 261,31 959,King Power Stadium,Leicester,King Power StadiumFormerly Walkers Stadium,Leicester,Leicester,2002,,32262,105.0,68.0,52°37′13″N,001°08′32″W,-1.1422222222222222,52.62027777777778,2021-12-12T15:00,11.8,0.0,22.1,92,22,4
225,Norwich,Manchester Utd,0,1,11.12.2021 18:30,16,47,53,11,13,5,5,1,4,5,4,17,1,8,6,0,1,28,18,4,5,6,17,1,1,440,501,341,409,9,21,93,119,52,54,0,0,21-22,-1.0,-1.0,0,0,0,1,11.12.2021 18:30,England D. (Eng),Carrow Road (Norwich),27 137,27 606,Carrow Road,Norwich,Carrow Road,Norwich,Norwich,1935,,27359,105.0,68.0,52°37′20″N,001°18′33″E,1.3091666666666668,52.62222222222222,2021-12-11T18:30,6.3,0.1,19.0,85,100,1
226,Arsenal,Southampton,3,0,11.12.2021 16:00,16,62,38,15,11,5,6,7,2,3,3,10,8,9,8,3,1,19,21,6,2,5,9,2,0,507,320,406,234,8,13,100,91,53,36,0,0,21-22,-1.0,-1.0,0,0,3,0,11.12.2021 16:00,Gillett J. (Aus),Emirates Stadium (London),60 704,59 653,Emirates Stadium,London,Emirates Stadium,Arsenal,London,2006,,60704,105.0,68.0,51°33′18″N,000°06′31″W,-0.1086111111111111,51.555,2021-12-11T16:00,6.7,0.6,15.4,90,100,3
227,Chelsea,Leeds,3,2,11.12.2021 16:00,16,58,42,16,12,6,5,5,1,5,6,18,8,5,2,1,4,30,27,3,3,9,15,2,5,415,304,348,223,18,23,112,71,67,39,0,0,21-22,-1.0,-1.0,0,0,3,2,11.12.2021 16:00,Kavanagh C. (Eng),Stamford Bridge (London),40 341,39 959,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2021-12-11T16:00,7.1,0.7,14.5,89,100,5
228,Liverpool,Aston Villa,1,0,11.12.2021 16:00,16,63,37,20,4,5,0,8,2,7,2,6,15,11,3,2,1,23,26,0,4,13,6,1,2,551,329,446,224,18,21,134,74,79,41,0,0,21-22,-1.0,-1.0,0,0,1,0,11.12.2021 16:00,Attwell S. (Eng),Anfield (Liverpool),61 276,53 093,Anfield,Liverpool,Anfield,Liverpool,Liverpool,1884,,61276,101.0,68.0,53°25′51″N,002°57′39″W,-2.960833333333333,53.43083333333333,2021-12-11T16:00,7.8,2.0,17.8,94,100,1
229,Manchester City,Wolves,1,0,11.12.2021 13:30,16,71,29,24,2,10,1,8,1,6,0,4,12,14,1,1,0,19,14,1,9,12,5,3,4,746,310,679,231,11,14,190,49,110,7,0,1,21-22,-1.0,-1.0,0,0,1,0,11.12.2021 13:30,Moss J. (Eng),Etihad Stadium (Manchester),55 097,52 613,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2021-12-11T13:30,6.9,0.2,15.8,87,100,1
230,Brentford,Watford,2,1,10.12.2021 21:00,16,63,37,14,6,5,2,4,3,5,1,15,12,8,2,1,0,35,27,1,3,12,18,4,0,472,281,347,160,20,17,141,88,66,28,0,0,21-22,-1.0,-1.0,0,0,2,1,10.12.2021 21:00,Oliver M. (Eng),Brentford Community Stadium (London),17 250,16 861,Brentford Community Stadium,London,Brentford Community Stadium,Brentford,London,2020,,17250,105.0,68.0,51°29′26.97″N,0°17′19.32″W,-0.2887,51.490825,2021-12-10T21:00,3.3,0.0,13.9,86,4,3
231,Everton,Arsenal,2,1,06.12.2021 21:00,15,36,64,11,10,5,3,3,4,3,3,13,12,3,3,5,1,28,23,2,3,8,12,2,2,329,588,228,487,13,19,107,118,47,36,0,0,21-22,-1.0,-1.0,0,0,2,1,06.12.2021 21:00,Dean M. (Eng),Goodison Park (Liverpool),39 572,38 906,Goodison Park,Liverpool,Goodison Park,Everton,Liverpool,1892,,39414,100.48,68.0,53°26′20″N,002°57′59″W,-2.966388888888889,53.43888888888888,2021-12-06T21:00,4.1,0.9,23.7,85,99,3
232,Aston Villa,Leicester,2,1,05.12.2021 17:30,15,41,59,13,12,4,5,4,5,5,2,24,9,3,6,1,0,19,29,4,2,8,25,1,1,359,524,271,424,21,16,90,141,35,60,0,0,21-22,-1.0,-1.0,0,0,2,1,05.12.2021 17:30,Oliver M. (Eng),Villa Park (Birmingham),42 789,41 572,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2021-12-05T17:30,5.2,0.0,19.8,82,91,3
233,Leeds,Brentford,2,2,05.12.2021 15:00,15,63,37,13,9,6,3,4,2,3,4,10,18,5,1,7,0,20,18,1,4,11,9,5,3,510,308,406,209,18,18,109,89,75,54,0,0,21-22,-1.0,-1.0,0,0,2,2,05.12.2021 15:00,Coote D. (Eng),Elland Road (Leeds),37 792,35 639,Elland Road,Leeds,Elland Road,Leeds,Leeds,1897,,37608,105.0,68.0,53°46′40″N,001°34′20″W,-1.5722222222222222,53.77777777777778,2021-12-05T15:00,6.3,0.1,16.6,90,70,4
234,Manchester Utd,Crystal Palace,1,0,05.12.2021 15:00,15,61,39,16,8,3,2,7,3,6,3,9,20,9,6,3,0,30,20,2,2,16,9,2,2,530,331,435,236,24,23,142,77,77,28,0,0,21-22,-1.0,-1.0,0,0,1,0,05.12.2021 15:00,Pawson C. (Eng),Old Trafford (Manchester),75 635,73 172,Old Trafford,Manchester,Old Trafford,Manchester Utd,Manchester,1910,,74031,105.0,68.0,53°27′47″N,002°17′29″W,-2.2913888888888887,53.46305555555556,2021-12-05T15:00,6.5,0.0,10.9,81,35,1
235,Tottenham,Norwich,3,0,05.12.2021 15:00,15,41,59,17,10,7,1,8,6,2,3,8,13,6,4,2,4,16,20,1,4,11,4,1,2,459,667,392,584,10,18,95,122,34,54,0,0,21-22,-1.0,-1.0,0,0,3,0,05.12.2021 15:00,Gillett J. (Aus),Tottenham Hotspur Stadium (London),62 850,57 088,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2021-12-05T15:00,7.0,0.0,24.6,88,46,3
236,Watford,Manchester City,1,3,04.12.2021 18:30,15,23,77,11,26,4,13,6,8,1,5,4,7,5,11,0,1,7,11,10,3,11,7,3,0,239,830,155,757,15,15,50,123,28,90,0,0,21-22,-1.0,-1.0,0,0,1,3,04.12.2021 18:30,Hooper S. (Eng),Vicarage Road (Watford),22 200,20 673,Vicarage Road,Watford,Vicarage Road,Watford,Watford,1922,,22200,105.0,68.0,51°39′00″N,000°24′06″W,-0.4016666666666666,51.65,2021-12-04T18:30,4.3,0.0,22.1,71,84,4
237,Newcastle,Burnley,1,0,04.12.2021 16:00,15,48,52,19,10,4,1,4,5,11,4,10,6,10,3,0,1,19,22,1,3,11,9,1,1,322,356,213,251,13,15,90,112,36,34,0,0,21-22,-1.0,-1.0,0,0,1,0,04.12.2021 16:00,Tierney P. (Eng),St. James' Park (Newcastle),52 305,51 948,St. James' Park,Newcastle,St James' Park,Newcastle,Newcastle upon Tyne,1880,,52257,105.0,68.0,54°58′32″N,001°37′18″W,-1.6216666666666666,54.97555555555556,2021-12-04T16:00,3.1,0.0,13.2,91,8,1
238,Southampton,Brighton,1,1,04.12.2021 16:00,15,44,56,14,14,4,4,6,4,4,6,10,14,6,2,0,0,21,36,3,3,15,12,4,2,314,410,204,282,12,21,92,92,61,42,0,0,21-22,-1.0,-1.0,0,0,1,1,04.12.2021 16:00,Taylor A. (Eng),St. Mary's Stadium (Southampton),32 384,28 706,St. Mary's Stadium,Southampton,St Mary's Stadium,Southampton,Southampton,2001,,32384,105.0,68.0,50°54′21″N,001°23′28″W,-1.3911111111111112,50.90583333333333,2021-12-04T16:00,5.7,0.0,23.4,72,1,2
239,Wolves,Liverpool,0,1,04.12.2021 16:00,15,33,67,3,17,1,5,2,8,0,4,8,12,2,8,7,1,23,23,4,1,4,7,2,2,320,641,219,529,21,15,47,155,23,71,0,0,21-22,-1.0,-1.0,0,0,0,1,04.12.2021 16:00,Kavanagh C. (Eng),Molineux Stadium (Wolverhampton),31 750,30 729,Molineux Stadium,Wolverhampton,Molineux Stadium,Wolves,Wolverhampton,1889,,31750,105.0,68.0,52°35′25″N,002°07′49″W,-2.1302777777777777,52.59027777777778,2021-12-04T16:00,4.6,0.0,30.1,70,26,1
240,West Ham,Chelsea,3,2,04.12.2021 13:30,15,36,64,11,19,5,7,6,4,0,8,10,14,1,9,3,1,20,16,5,2,10,10,1,3,335,588,243,487,13,6,84,123,27,76,0,0,21-22,-1.0,-1.0,0,0,3,2,04.12.2021 13:30,Marriner A. (Eng),London Stadium (London),62 500,60 000,London Stadium,London,London StadiumFormerly Olympic Stadium,West Ham,London,2016[28],,62500,105.0,68.0,51°32′19″N,0°0′59″W,-0.0163888888888888,51.53861111111111,2021-12-04T13:30,7.5,0.0,25.1,66,26,5
241,Manchester Utd,Arsenal,3,2,02.12.2021 21:15,14,45,55,14,17,10,8,3,5,1,4,11,9,3,8,0,1,16,23,6,7,9,10,1,0,431,526,354,438,18,10,91,108,38,61,0,0,21-22,-1.0,-1.0,0,0,3,2,02.12.2021 21:15,Atkinson M. (Eng),Old Trafford (Manchester),75 635,73 123,Old Trafford,Manchester,Old Trafford,Manchester Utd,Manchester,1910,,74031,105.0,68.0,53°27′47″N,002°17′29″W,-2.2913888888888887,53.46305555555556,2021-12-02T21:15,1.2,0.0,8.4,79,90,5
242,Tottenham,Brentford,2,0,02.12.2021 20:30,14,47,53,11,6,6,2,3,3,2,1,11,12,10,5,0,0,21,25,2,4,13,11,0,0,464,521,353,416,8,10,101,116,42,43,0,0,21-22,-1.0,-1.0,0,0,2,0,02.12.2021 20:30,Moss J. (Eng),Tottenham Hotspur Stadium (London),62 850,54 202,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2021-12-02T20:30,0.1,0.0,12.9,75,26,2
243,Aston Villa,Manchester City,1,2,01.12.2021 21:15,14,36,64,9,17,3,7,3,5,3,5,12,9,4,10,1,0,15,16,5,2,8,12,0,0,333,611,269,547,25,11,77,126,30,81,0,0,21-22,-1.0,-1.0,0,0,1,2,01.12.2021 21:15,Dean M. (Eng),Villa Park (Birmingham),42 789,41 400,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2021-12-01T21:15,1.9,0.0,16.5,88,0,3
244,Everton,Liverpool,1,4,01.12.2021 21:15,14,31,69,8,16,2,7,2,5,4,4,18,12,3,11,3,1,24,14,3,1,8,16,4,3,270,599,168,489,9,15,77,117,39,60,0,0,21-22,-1.0,-1.0,0,0,1,4,01.12.2021 21:15,Tierney P. (Eng),Goodison Park (Liverpool),39 572,40 000,Goodison Park,Liverpool,Goodison Park,Everton,Liverpool,1892,,39414,100.48,68.0,53°26′20″N,002°57′59″W,-2.966388888888889,53.43888888888888,2021-12-01T21:15,3.5,0.0,18.5,70,2,5
245,Southampton,Leicester,2,2,01.12.2021 20:30,14,45,55,15,15,7,6,4,6,4,3,14,15,2,4,1,2,21,24,4,5,14,11,1,3,358,440,247,328,12,11,124,91,48,39,0,0,21-22,-1.0,-1.0,0,0,2,2,01.12.2021 20:30,Jones R. (Eng),St. Mary's Stadium (Southampton),32 384,26 951,St. Mary's Stadium,Southampton,St Mary's Stadium,Southampton,Southampton,2001,,32384,105.0,68.0,50°54′21″N,001°23′28″W,-1.3911111111111112,50.90583333333333,2021-12-01T20:30,5.6,0.0,22.0,81,16,4
