,home_team,away_team,home_goals_x,away_goals_x,date_x,round,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,season,Expected Goals (xG)_home,Expected Goals (xG)_away,Clearances Completed_home,Clearances Completed_away,home_goals_y,away_goals_y,date_y,referee,stadium,capacity,attendance,stadium name,stadium city,Stadium,Club,Location,Opened,Closed,Capacity,Pitch length m,Pitch width m,latitude,longitude,longitude_decimal,latitude_decimal,transformed_date,weather_temperature_[C],weather_precipitation_[mm],weather_wind_[km/h],weather_humidity_[%],weather_cloud_cover_[%],sum_of_goals
10,Aston Villa,Burnley,1,1,19.05.2022 21:00,18,71,29,22,10,9,5,7,2,6,3,19,10,13,6,1,0,17,12,4,8,11,20,0,1,587,231,529,158,16,11,111,61,64,36,0,1,21-22,-1.0,-1.0,0,0,1,1,19.05.2022 21:00,Tierney P. (Eng),Villa Park (Birmingham),42 789,40 468,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2022-05-19T21:00,13.7,0.0,10.3,71,67,2
11,Chelsea,Leicester,1,1,19.05.2022 21:00,27,67,33,20,2,7,1,5,1,8,0,4,13,6,0,1,1,21,11,0,6,13,7,4,1,750,370,695,293,10,18,153,62,78,10,0,0,21-22,-1.0,-1.0,0,0,1,1,19.05.2022 21:00,Attwell S. (Eng),Stamford Bridge (London),40 341,31 478,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2022-05-19T21:00,14.1,0.0,10.3,72,91,2
12,Everton,Crystal Palace,3,2,19.05.2022 20:45,33,43,57,12,7,6,5,4,2,2,0,14,9,4,5,0,3,23,24,3,3,9,12,2,3,347,466,244,360,25,20,116,109,57,44,0,0,21-22,-1.0,-1.0,0,0,3,2,19.05.2022 20:45,Taylor A. (Eng),Goodison Park (Liverpool),39 572,40 000,Goodison Park,Liverpool,Goodison Park,Everton,Liverpool,1892,,39414,100.48,68.0,53°26′20″N,002°57′59″W,-2.966388888888889,53.43888888888888,2022-05-19T20:45,13.8,0.0,12.1,63,55,5
13,Southampton,Liverpool,1,2,17.05.2022 20:45,37,29,71,4,24,2,5,0,10,2,9,8,6,1,9,0,2,17,25,3,1,6,6,2,0,300,734,224,654,15,18,72,170,31,78,0,0,21-22,-1.0,-1.0,0,0,1,2,17.05.2022 20:45,Atkinson M. (Eng),St. Mary's Stadium (Southampton),32 384,31 588,St. Mary's Stadium,Southampton,St Mary's Stadium,Southampton,Southampton,2001,,32384,105.0,68.0,50°54′21″N,001°23′28″W,-1.3911111111111112,50.90583333333333,2022-05-17T20:45,15.9,0.0,15.8,85,28,3
14,Newcastle,Arsenal,2,0,16.05.2022 21:00,37,51,49,16,11,4,2,7,4,5,5,7,16,12,8,6,1,22,14,2,2,11,8,0,3,325,332,260,258,17,15,79,73,61,30,0,0,21-22,-1.0,-1.0,0,0,2,0,16.05.2022 21:00,England D. (Eng),St. James' Park (Newcastle),52 305,52 274,St. James' Park,Newcastle,St James' Park,Newcastle,Newcastle upon Tyne,1880,,52257,105.0,68.0,54°58′32″N,001°37′18″W,-1.6216666666666666,54.97555555555556,2022-05-16T21:00,10.0,0.0,5.5,100,77,2
15,Everton,Brentford,2,3,15.05.2022 17:30,37,28,72,10,18,5,7,5,10,0,1,5,7,5,2,2,1,11,22,4,3,8,8,0,3,212,586,143,491,5,14,76,101,43,81,2,0,21-22,-1.0,-1.0,0,0,2,3,15.05.2022 17:30,Oliver M. (Eng),Goodison Park (Liverpool),39 572,38 819,Goodison Park,Liverpool,Goodison Park,Everton,Liverpool,1892,,39414,100.48,68.0,53°26′20″N,002°57′59″W,-2.966388888888889,53.43888888888888,2022-05-15T17:30,19.1,0.0,24.8,62,37,5
16,Aston Villa,Crystal Palace,1,1,15.05.2022 15:00,37,48,52,13,16,4,4,5,6,4,6,15,11,1,5,1,0,22,22,3,3,11,15,1,3,464,486,377,405,20,12,95,110,30,57,0,0,21-22,-1.0,-1.0,0,0,1,1,15.05.2022 15:00,Kavanagh C. (Eng),Villa Park (Birmingham),42 789,41 136,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2022-05-15T15:00,18.8,0.0,21.1,63,100,2
17,Leeds,Brighton,1,1,15.05.2022 15:00,37,50,50,20,15,6,6,10,7,4,2,10,17,8,1,1,1,24,21,5,5,16,8,3,2,394,403,270,296,13,13,97,120,46,42,0,0,21-22,-1.0,-1.0,0,0,1,1,15.05.2022 15:00,Dean M. (Eng),Elland Road (Leeds),37 792,36 638,Elland Road,Leeds,Elland Road,Leeds,Leeds,1897,,37608,105.0,68.0,53°46′40″N,001°34′20″W,-1.5722222222222222,53.77777777777778,2022-05-15T15:00,16.8,0.0,22.0,66,79,2
18,Watford,Leicester,1,5,15.05.2022 15:00,37,40,60,13,13,5,7,8,6,0,0,7,7,7,3,3,2,21,23,2,4,4,6,0,1,351,526,272,447,19,26,99,97,51,42,0,0,21-22,-1.0,-1.0,0,0,1,5,15.05.2022 15:00,Gillett J. (Aus),Vicarage Road (Watford),22 200,20 257,Vicarage Road,Watford,Vicarage Road,Watford,Watford,1922,,22200,105.0,68.0,51°39′00″N,000°24′06″W,-0.4016666666666666,51.65,2022-05-15T15:00,15.2,0.6,11.0,87,90,6
19,West Ham,Manchester City,2,2,15.05.2022 15:00,37,22,78,6,31,2,8,3,10,1,13,5,6,4,9,1,0,9,15,6,0,9,5,3,1,189,696,121,605,11,10,45,149,23,114,0,0,21-22,-1.0,-1.0,0,0,2,2,15.05.2022 15:00,Taylor A. (Eng),London Stadium (London),62 500,59 972,London Stadium,London,London StadiumFormerly Olympic Stadium,West Ham,London,2016[28],,62500,105.0,68.0,51°32′19″N,0°0′59″W,-0.0163888888888888,51.53861111111111,2022-05-15T15:00,15.7,1.4,10.4,86,90,4
